n_sample,n_network,n_rdds,n_rdda_attractors,t_find_attractors_method
1,1,3,0,1.102536916732788
2,1,3,0,1.102536916732788
2,2,4,0,0.8050265312194824
3,1,3,0,1.102536916732788
3,2,4,0,0.8050265312194824
3,3,5,0,1.3558316230773926
4,1,3,0,1.102536916732788
4,2,4,0,0.8050265312194824
4,3,5,0,1.3558316230773926
4,4,6,0,1.4396984577178955
5,1,3,0,1.102536916732788
5,2,4,0,0.8050265312194824
5,3,5,0,1.3558316230773926
5,4,6,0,1.4396984577178955
5,5,7,0,1.4777841567993164
