n_sample,n_network,n_rdds,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
10,4,6,61,1.3959853649139404,537,0.14962291717529297,54,0.7067952156066895
10,5,7,73,1.6403744220733643,732,0.18250060081481934,0,0.027711153030395508
10,6,8,100,1.9556822776794434,1473,0.35851621627807617,0,0.11589622497558594
10,7,9,91,2.107637643814087,980,0.2559216022491455,0,0.0489654541015625
10,8,10,114,2.522479772567749,1255,0.33583760261535645,0,0.1395246982574463
11,1,3,24,0.6375479698181152,169,0.05302095413208008,3,0.029265880584716797
11,2,4,60,1.1878395080566406,872,0.20311737060546875,112,2.2126238346099854
11,3,5,38,0.9494495391845703,287,0.08061528205871582,10,0.26584863662719727
11,4,6,51,1.1873657703399658,389,0.1109457015991211,33,0.639258861541748
11,5,7,76,1.6760344505310059,664,0.183579683303833,216,8.226176738739014
11,6,8,81,1.961674451828003,797,0.23238468170166016,242,53.25705933570862
11,7,9,74,1.81673264503479,565,0.15120553970336914,0,0.03840065002441406
11,8,10,114,2.537299394607544,1118,0.31052064895629883,852,2649.1782755851746
12,1,3,43,0.8300352096557617,516,0.13181543350219727,12,0.12831354141235352
12,2,4,44,0.970341682434082,367,0.10927844047546387,22,0.2348620891571045
12,3,5,58,1.1909019947052002,508,0.15874695777893066,22,0.9849984645843506
12,4,6,46,1.1884825229644775,331,0.09031009674072266,14,0.3239569664001465
12,5,7,80,1.736886978149414,800,0.21087098121643066,284,5.62758994102478
12,6,8,100,2.042226552963257,1216,0.314406156539917,0,0.11471056938171387
12,7,9,102,2.153376579284668,911,0.3132357597351074,0,0.05899786949157715
12,8,10,101,2.263812303543091,887,0.24762773513793945,0,0.04146766662597656
13,1,3,34,0.67645263671875,351,0.10083436965942383,7,0.08287644386291504
13,2,4,58,1.1097660064697266,734,0.15873932838439941,28,0.6982631683349609
13,3,5,44,1.0955898761749268,374,0.10081791877746582,56,0.5574951171875
13,4,6,72,1.513411045074463,930,0.21743369102478027,112,16.63589119911194
13,5,7,58,1.477283239364624,550,0.15749406814575195,72,4.0149266719818115
13,6,8,75,1.7290077209472656,661,0.17669320106506348,334,36.70123219490051
13,7,9,87,1.9230706691741943,668,0.21049976348876953,280,76.92043542861938
13,8,10,88,2.0991127490997314,733,0.19378089904785156,296,492.56969165802
14,1,3,33,0.6738500595092773,344,0.09950757026672363,16,0.11381697654724121
14,2,4,38,0.8979580402374268,307,0.103240966796875,7,0.10031962394714355
14,3,5,47,1.0959053039550781,415,0.1083676815032959,24,0.4771451950073242
14,4,6,55,1.3631062507629395,471,0.11406445503234863,84,2.4816744327545166
14,5,7,97,1.988562822341919,1254,0.3026723861694336,0,0.0971834659576416
14,6,8,69,1.8267464637756348,510,0.13573145866394043,94,0.6560447216033936
14,7,9,67,1.814103126525879,416,0.11795377731323242,82,28.45503044128418
14,8,10,87,2.131899356842041,587,0.1666114330291748,0,0.0571749210357666
15,1,3,24,0.6422452926635742,195,0.058550119400024414,13,0.03909707069396973
15,2,4,72,1.2937531471252441,1199,0.29213690757751465,92,2.144819974899292
15,3,5,45,1.1009607315063477,398,0.1038062572479248,32,0.27279019355773926
15,4,6,53,1.3158020973205566,473,0.13793373107910156,33,0.4095025062561035
15,5,7,68,1.5100138187408447,636,0.18355464935302734,252,4.577042818069458
15,6,8,80,1.7508106231689453,827,0.22417664527893066,360,11.242770433425903
15,7,9,87,1.9017798900604248,765,0.23883628845214844,624,40.718244791030884
15,8,10,81,2.110565423965454,592,0.16122055053710938,204,46.80418586730957
16,1,3,21,0.5597529411315918,110,0.04195976257324219,2,0.016786813735961914
16,2,4,31,0.7948751449584961,208,0.06593060493469238,8,0.04088330268859863
16,3,5,65,1.4235901832580566,712,0.18802380561828613,54,1.738898754119873
16,4,6,68,1.4755775928497314,788,0.22844338417053223,50,2.4674766063690186
16,5,7,69,1.749636173248291,536,0.14419054985046387,82,9.100522756576538
16,6,8,76,1.8774466514587402,638,0.1695420742034912,0,0.07481217384338379
16,7,9,93,2.152758836746216,843,0.23212432861328125,416,145.1632125377655
16,8,10,116,2.5087711811065674,1222,0.3098301887512207,0,0.05055975914001465
17,1,3,17,0.4877598285675049,89,0.037909746170043945,3,0.012331962585449219
17,2,4,57,1.152512550354004,596,0.1874692440032959,32,0.8578042984008789
17,3,5,49,1.1758146286010742,462,0.12908649444580078,18,0.4473133087158203
17,4,6,50,1.2554073333740234,386,0.11764979362487793,27,0.40241050720214844
17,5,7,62,1.4539926052093506,516,0.13795161247253418,53,5.357502222061157
17,6,8,103,2.161292791366577,1102,0.30669307708740234,1204,2727.6204624176025
17,7,9,77,1.897899866104126,710,0.17891836166381836,0,0.02996516227722168
17,8,10,80,2.108907699584961,540,0.15963077545166016,38,12.841729402542114
18,1,3,27,0.6651713848114014,196,0.06175708770751953,3,0.03077864646911621
18,2,4,27,0.7467975616455078,191,0.05524587631225586,6,0.02674245834350586
18,3,5,64,1.3254764080047607,736,0.1970679759979248,186,6.100748538970947
18,4,6,79,1.6665310859680176,747,0.20719313621520996,246,35.55069017410278
18,5,7,65,1.5354504585266113,604,0.15349173545837402,104,1.972449541091919
18,6,8,70,1.6763811111450195,511,0.18881702423095703,134,4.394365310668945
18,7,9,73,1.8649678230285645,565,0.15437555313110352,128,3.5869195461273193
18,8,10,103,2.4904370307922363,952,0.27883100509643555,0,0.0948493480682373
19,1,3,22,0.5530457496643066,144,0.04657125473022461,6,0.022895097732543945
19,2,4,62,1.2098503112792969,926,0.2133021354675293,132,0.4168586730957031
19,3,5,40,1.0558133125305176,235,0.08406949043273926,4,0.12360715866088867
19,4,6,58,1.3824713230133057,378,0.10605692863464355,20,0.6139483451843262
19,5,7,95,1.9606690406799316,1442,0.36614251136779785,1068,91.1575059890747
19,6,8,65,1.7270152568817139,510,0.1433572769165039,0,0.04614853858947754
19,7,9,70,1.8769214153289795,529,0.14703059196472168,0,0.04062342643737793
19,8,10,103,2.5661518573760986,882,0.22700047492980957,1353,466.5219292640686
20,1,3,18,0.5470898151397705,88,0.03671860694885254,2,0.015610933303833008
20,2,4,54,1.1515891551971436,710,0.17405200004577637,29,0.7885570526123047
20,3,5,33,0.9744873046875,182,0.07280755043029785,4,0.04157114028930664
20,4,6,58,1.3437135219573975,469,0.1297013759613037,48,2.544421911239624
20,5,7,92,1.8390629291534424,1033,0.25106072425842285,488,20.802736520767212
20,6,8,72,1.8048131465911865,491,0.1402277946472168,56,5.3719117641448975
20,7,9,70,1.761965274810791,509,0.13507652282714844,0,0.021293163299560547
20,8,10,81,1.9706284999847412,576,0.17209839820861816,36,31.48672080039978
21,1,3,21,0.646425724029541,115,0.04576873779296875,2,0.013389110565185547
21,2,4,62,1.239112377166748,944,0.22853994369506836,107,3.0899391174316406
21,3,5,53,1.20689058303833,480,0.12889385223388672,54,0.8938524723052979
21,4,6,69,1.5113961696624756,756,0.18494224548339844,259,4.718655109405518
21,5,7,81,1.685199499130249,838,0.22199130058288574,0,0.04730677604675293
21,6,8,87,1.8409523963928223,1084,0.2556121349334717,426,23.513434171676636
21,7,9,127,2.3652892112731934,1698,0.4201011657714844,0,0.49494123458862305
21,8,10,83,2.0076167583465576,598,0.16571807861328125,68,3.183746576309204
22,1,3,51,0.8329966068267822,559,0.13041019439697266,20,0.14687728881835938
22,2,4,41,0.8736205101013184,324,0.08638834953308105,12,0.17502927780151367
22,3,5,72,1.368908166885376,934,0.2710888385772705,104,2.9495041370391846
22,4,6,50,1.2409543991088867,413,0.10722041130065918,59,0.47763514518737793
22,5,7,98,1.9069299697875977,1558,0.3973376750946045,203,44.9505033493042
22,6,8,76,1.795008659362793,583,0.16164350509643555,200,7.32590389251709
