n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
5,8,5,10,2,87,2.2048847675323486,1058,0.322467565536499,133,11.189051389694214
6,1,5,3,2,39,0.723114013671875,266,0.07280898094177246,7,0.07752537727355957
6,2,5,4,2,47,0.8032467365264893,473,0.11793160438537598,15,0.6176328659057617
6,3,5,5,2,45,0.9418637752532959,354,0.10519599914550781,4,0.04544186592102051
6,4,5,6,2,60,1.2067461013793945,621,0.18465709686279297,29,0.44319725036621094
6,5,5,7,2,79,1.3890752792358398,927,0.3020906448364258,180,14.936159610748291
6,6,5,8,2,72,1.5173640251159668,1006,0.25624537467956543,84,3.6129708290100098
6,7,5,9,2,69,1.8520355224609375,830,0.25899648666381836,190,6.549238920211792
6,8,5,10,2,80,2.0311169624328613,869,0.2321319580078125,168,8.931077480316162
7,1,5,3,2,33,0.7400374412536621,196,0.06036710739135742,5,0.10161566734313965
7,2,5,4,2,75,1.2083137035369873,895,0.22877097129821777,126,15.415413618087769
7,3,5,5,2,51,1.0628612041473389,419,0.1206061840057373,18,0.1325676441192627
7,4,5,6,2,49,1.0332255363464355,411,0.1317293643951416,12,0.4704740047454834
7,5,5,7,2,74,1.6421527862548828,1028,0.25389862060546875,248,6.458558559417725
7,6,5,8,2,96,2.114064931869507,1022,0.3417932987213135,176,2.0294747352600098
7,7,5,9,2,56,1.4581544399261475,578,0.1541304588317871,82,0.33269381523132324
7,8,5,10,2,69,1.8125698566436768,835,0.2550089359283447,92,2.055316686630249
8,1,5,3,2,35,0.6817808151245117,194,0.06729936599731445,3,0.07970166206359863
8,2,5,4,2,40,0.7982795238494873,297,0.07671856880187988,8,0.4737088680267334
8,3,5,5,2,37,0.8810000419616699,215,0.06769490242004395,6,0.10662341117858887
8,4,5,6,2,52,1.0891404151916504,598,0.15651845932006836,35,0.9386885166168213
8,5,5,7,2,57,1.4154689311981201,504,0.12885308265686035,98,3.169820547103882
8,6,5,8,2,88,1.9621264934539795,1212,0.3334205150604248,136,9.439544439315796
8,7,5,9,2,49,1.4302616119384766,379,0.11899471282958984,5,0.2816200256347656
8,8,5,10,2,49,1.354557991027832,384,0.11608767509460449,12,0.17249083518981934
9,1,5,3,2,38,0.7412631511688232,292,0.07996058464050293,29,0.10428118705749512
9,2,5,4,2,38,0.8087620735168457,279,0.07791495323181152,16,0.23673319816589355
9,3,5,5,2,48,1.060288429260254,354,0.09650158882141113,5,0.22689533233642578
9,4,5,6,2,47,1.0004422664642334,386,0.10951638221740723,22,0.8682031631469727
9,5,5,7,2,47,1.1113955974578857,319,0.1055903434753418,22,0.36208224296569824
9,6,5,8,2,85,1.8632631301879883,1110,0.32128286361694336,170,7.05557918548584
9,7,5,9,2,46,1.3307490348815918,403,0.1227271556854248,4,0.16565847396850586
9,8,5,10,2,83,1.981504201889038,1402,0.3358879089355469,400,12.52789568901062
10,1,5,3,2,38,0.6494951248168945,292,0.12909865379333496,7,0.12007761001586914
10,2,5,4,2,48,0.86574387550354,412,0.09819579124450684,13,0.25251150131225586
10,3,5,5,2,33,0.502103328704834,212,0.054863691329956055,10,0.14881205558776855
10,4,5,6,2,42,1.232569932937622,337,0.10377049446105957,17,0.19617342948913574
10,5,5,7,2,57,1.5475003719329834,521,0.16368508338928223,6,0.16202473640441895
10,6,5,8,2,41,1.4370648860931396,232,0.0717463493347168,48,0.11515378952026367
