n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,5,5,2,49,1.7036411762237549,417,0.11238622665405273,36,0.3776054382324219
1,2,5,5,3,106,2.1565237045288086,3192,0.7235550880432129,162,219.00181365013123
1,3,5,5,4,139,4.361858129501343,7061,1.7103290557861328,5,909.9399237632751
2,1,5,5,2,46,0.9699327945709229,344,0.08791899681091309,18,0.13799667358398438
2,2,5,5,3,80,2.313518762588501,1690,0.3728823661804199,5,18.93190336227417
2,3,5,5,4,156,4.269716024398804,9192,1.9367763996124268,8,2767.4808065891266
3,1,5,5,2,44,1.1004314422607422,399,0.09353494644165039,25,0.35523366928100586
3,2,5,5,3,89,2.1335012912750244,2374,0.48394179344177246,52,148.0654742717743
3,3,5,5,4,135,3.740661859512329,6740,1.489736557006836,3,1031.2956111431122
4,1,5,5,2,44,1.15629243850708,274,0.06995701789855957,16,0.08248281478881836
4,2,5,5,3,77,2.1573023796081543,1695,0.3695993423461914,27,6.901897668838501
4,3,5,5,4,114,3.6857495307922363,4788,1.0428886413574219,4,423.99153900146484
5,1,5,5,2,45,1.246337652206421,394,0.08495521545410156,70,1.1075770854949951
5,2,5,5,3,72,1.974719524383545,1332,0.33884358406066895,3,11.043708324432373
5,3,5,5,4,234,5.565783262252808,18716,4.433245658874512,31,21293.38861131668
6,1,5,5,2,59,1.3612008094787598,575,0.15684986114501953,48,0.945845365524292
6,2,5,5,3,67,2.0755908489227295,1320,0.307950496673584,5,9.192460536956787
6,3,5,5,4,212,4.955433130264282,15748,3.512920618057251,20,14046.652945518494
7,1,5,5,2,34,0.9677343368530273,219,0.0690310001373291,3,0.07606768608093262
7,2,5,5,3,91,2.487654209136963,2365,0.5355322360992432,3,15.045647144317627
7,3,5,5,4,109,3.6815876960754395,4346,1.02516508102417,2,311.78216648101807
8,1,5,5,2,58,1.3031671047210693,430,0.1114342212677002,20,0.5128030776977539
8,2,5,5,3,94,2.4620463848114014,2138,0.4830329418182373,15,27.728882551193237
8,3,5,5,4,142,4.2147767543792725,7248,1.6164884567260742,8,826.6585738658905
9,1,5,5,2,40,1.1220557689666748,302,0.07187151908874512,24,0.4112417697906494
9,2,5,5,3,78,2.022144079208374,1768,0.37342309951782227,8,4.997002840042114
9,3,5,5,4,142,4.263144016265869,7298,1.5588150024414062,5,1605.5620267391205
10,1,5,5,2,57,1.3848011493682861,700,0.14580368995666504,49,3.0742759704589844
10,2,5,5,3,77,2.1454107761383057,1652,0.35779261589050293,12,29.109567165374756
10,3,5,5,4,123,3.6555707454681396,5726,1.199087381362915,3,669.5416436195374
11,1,5,5,2,29,0.9250214099884033,158,0.048539161682128906,8,0.07357931137084961
11,2,5,5,3,88,2.215670108795166,2258,0.4690108299255371,17,30.778149843215942
11,3,5,5,4,197,4.565066576004028,13580,3.4458346366882324,24,8640.440901994705
12,1,5,5,2,33,1.0592918395996094,213,0.05516505241394043,12,0.06342554092407227
12,2,5,5,3,62,1.7309203147888184,972,0.21273183822631836,3,5.235821008682251
12,3,5,5,4,157,4.2464821338653564,9159,1.9702298641204834,10,2616.5192024707794
13,1,5,5,2,30,1.0096347332000732,167,0.04562997817993164,9,0.050073862075805664
13,2,5,5,3,91,2.476442813873291,2303,0.48110270500183105,36,29.73109269142151
13,3,5,5,4,167,3.9829180240631104,9846,2.1517879962921143,8,1872.7967326641083
14,1,5,5,2,34,1.02044677734375,191,0.054717063903808594,5,0.04746365547180176
14,2,5,5,3,121,2.9002456665039062,3058,0.7134530544281006,25,12.931330919265747
14,3,5,5,4,141,3.7550032138824463,7538,1.725987195968628,9,1229.4082539081573
15,1,5,5,2,51,1.0888371467590332,397,0.10282516479492188,35,0.6348133087158203
15,2,5,5,3,96,2.3219377994537354,2635,0.551123857498169,25,16.72320580482483
15,3,5,5,4,232,5.742664098739624,16644,4.414572715759277,6,10724.774378061295
16,1,5,5,2,49,1.2635173797607422,435,0.11218452453613281,24,0.5352461338043213
16,2,5,5,3,88,2.487060785293579,2129,0.462155818939209,14,54.028955936431885
16,3,5,5,4,196,4.891619443893433,14232,3.0934090614318848,32,8595.635652303696
17,1,5,5,2,40,1.0947246551513672,293,0.07103872299194336,12,0.10651946067810059
17,2,5,5,3,77,2.1274633407592773,1762,0.3554348945617676,9,28.891000509262085
17,3,5,5,4,215,4.914086103439331,16495,3.997074604034424,8,20913.95269060135
18,1,5,5,2,52,1.1852645874023438,316,0.08211946487426758,60,0.12114477157592773
18,2,5,5,3,115,2.8142504692077637,3874,0.8326995372772217,96,348.3818247318268
18,3,5,5,4,135,4.213619232177734,6294,1.454937219619751,5,650.3686122894287
19,1,5,5,2,43,1.1401503086090088,336,0.08847332000732422,10,0.3655436038970947
19,2,5,5,3,118,2.713690996170044,3628,0.8244426250457764,27,226.0127546787262
