n_sample,n_network,n_rdds,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,3,15,1.3772175312042236,47,0.03333020210266113,3,0.010438919067382812
1,2,4,21,0.4397411346435547,86,0.023447275161743164,6,0.006516695022583008
1,3,5,48,0.9460616111755371,352,0.09138035774230957,203,1.5705480575561523
1,4,6,38,1.1059539318084717,203,0.05468010902404785,36,0.2709157466888428
1,5,7,61,1.7289855480194092,278,0.08393740653991699,0,0.005174398422241211
1,6,8,81,1.8725357055664062,451,0.1273975372314453,0,0.04722404479980469
1,7,9,76,1.8071198463439941,550,0.13527870178222656,1060,3.9531311988830566
1,8,10,86,1.6660232543945312,661,0.16242575645446777,6844,135.88955569267273
2,1,3,22,0.4956541061401367,88,0.029105424880981445,15,0.009126901626586914
2,2,4,23,0.6404542922973633,93,0.03737926483154297,10,0.012456893920898438
2,3,5,35,0.8536427021026611,175,0.05334782600402832,70,0.0800940990447998
2,4,6,40,0.8821244239807129,146,0.040265560150146484,490,0.5514650344848633
2,5,7,54,1.4396717548370361,356,0.09486603736877441,40,0.8338363170623779
2,6,8,46,0.857689380645752,125,0.04160571098327637,646,0.8412179946899414
2,7,9,61,1.5057964324951172,279,0.07560563087463379,0,0.024549007415771484
2,8,10,98,1.9971177577972412,666,0.15321803092956543,0,0.017477989196777344
3,1,3,21,0.4407038688659668,78,0.029332399368286133,8,0.007771492004394531
3,2,4,24,0.5852420330047607,91,0.030892372131347656,22,0.014381170272827148
3,3,5,44,0.9792923927307129,389,0.08530068397521973,50,0.32984232902526855
3,4,6,39,0.9019160270690918,152,0.04680323600769043,132,0.032163143157958984
3,5,7,53,1.2298188209533691,217,0.055519819259643555,0,0.004511594772338867
3,6,8,72,1.4509985446929932,482,0.11561942100524902,0,0.0048825740814208984
3,7,9,75,1.9560315608978271,539,0.19816350936889648,942,7.3198137283325195
3,8,10,91,2.2024009227752686,666,0.19387269020080566,0,0.0884699821472168
4,1,3,21,0.49579834938049316,103,0.033941030502319336,7,0.009572982788085938
4,2,4,22,0.5365762710571289,102,0.030652523040771484,10,0.012493371963500977
4,3,5,47,0.8530519008636475,250,0.06266903877258301,0,0.0056269168853759766
4,4,6,52,1.083646297454834,333,0.0911870002746582,63,0.23462247848510742
4,5,7,62,1.5162510871887207,492,0.10753059387207031,288,2.9037890434265137
4,6,8,66,1.706101655960083,313,0.09122610092163086,0,0.004630565643310547
4,7,9,66,1.4583001136779785,384,0.12191963195800781,600,11.465173721313477
4,8,10,79,1.9100277423858643,494,0.13770651817321777,164,6.589395999908447
5,1,3,22,0.6097061634063721,89,0.0380096435546875,4,0.006718873977661133
5,2,4,34,0.6121201515197754,206,0.055396318435668945,51,0.10958099365234375
5,3,5,46,0.964353084564209,237,0.06498122215270996,210,0.327974796295166
5,4,6,54,1.2866058349609375,297,0.07368040084838867,292,1.2220370769500732
5,5,7,63,1.7423927783966064,438,0.1246178150177002,64,0.4328041076660156
5,6,8,63,1.5520837306976318,467,0.10948061943054199,340,1.490281581878662
5,7,9,61,1.521406650543213,251,0.06950497627258301,0,0.005220651626586914
5,8,10,73,1.7919669151306152,485,0.1145925521850586,1128,9.780999183654785
6,1,3,39,0.8122437000274658,229,0.08703374862670898,6,0.017712831497192383
6,2,4,26,0.644770622253418,136,0.037119388580322266,20,0.011481285095214844
6,3,5,41,0.8896617889404297,188,0.053899288177490234,108,0.08869409561157227
6,4,6,30,1.0059854984283447,69,0.028599262237548828,0,0.003831148147583008
6,5,7,59,1.3842267990112305,263,0.07404398918151855,360,0.2998385429382324
6,6,8,44,1.4478299617767334,178,0.06540536880493164,48,0.4661524295806885
6,7,9,85,2.314288377761841,589,0.18910670280456543,2072,12.706845045089722
6,8,10,58,1.4957315921783447,227,0.06371235847473145,0,0.0054705142974853516
7,1,3,32,0.6664559841156006,238,0.06095576286315918,11,0.02415180206298828
7,2,4,45,0.9124331474304199,443,0.11017227172851562,34,0.37944865226745605
7,3,5,35,0.8832743167877197,225,0.05719494819641113,16,0.07826781272888184
7,4,6,59,1.1997616291046143,277,0.07089829444885254,348,0.26577091217041016
7,5,7,61,1.342714548110962,526,0.11229062080383301,717,1.5447237491607666
7,6,8,41,1.0429868698120117,176,0.050438642501831055,51,0.17361021041870117
7,7,9,68,2.022830009460449,415,0.10474014282226562,52,2.163403034210205
7,8,10,98,2.37052845954895,791,0.18624329566955566,2178,501.60858035087585
8,1,3,16,0.3982698917388916,63,0.026061058044433594,2,0.0047338008880615234
8,2,4,22,0.43195128440856934,83,0.022088289260864258,9,0.014607429504394531
8,3,5,30,0.7400248050689697,65,0.025469541549682617,48,0.005586147308349609
8,4,6,31,0.9915990829467773,94,0.02808976173400879,31,0.013767480850219727
8,5,7,56,1.0854384899139404,324,0.08823609352111816,214,0.8795380592346191
8,6,8,79,1.3861889839172363,399,0.11154723167419434,0,0.005995512008666992
8,7,9,57,1.2542424201965332,154,0.057436227798461914,0,0.004063606262207031
8,8,10,72,1.5350570678710938,470,0.1304459571838379,720,12.489613056182861
9,1,3,16,0.33542656898498535,58,0.019409894943237305,8,0.005090475082397461
9,2,4,32,0.5598452091217041,186,0.044384002685546875,34,0.04932832717895508
9,3,5,45,1.036527156829834,371,0.0856637954711914,46,0.6872665882110596
9,4,6,45,1.01399564743042,244,0.06788921356201172,63,0.5434138774871826
9,5,7,72,1.0860435962677002,538,0.11588764190673828,0,0.013517379760742188
9,6,8,66,1.1964046955108643,343,0.08601665496826172,0,0.004437685012817383
9,7,9,75,1.0473196506500244,347,0.08224248886108398,2400,10.27220368385315
9,8,10,53,1.249433994293213,212,0.05373024940490723,0,0.004882097244262695
10,1,3,21,0.37218666076660156,91,0.029181718826293945,8,0.005783796310424805
10,2,4,26,0.44551825523376465,137,0.032590389251708984,24,0.013243913650512695
10,3,5,59,0.8213224411010742,378,0.10974264144897461,92,0.4910008907318115
10,4,6,38,0.8138580322265625,158,0.042609453201293945,126,0.08162188529968262
10,5,7,59,0.8904733657836914,385,0.09787726402282715,0,0.005127906799316406
10,6,8,43,0.7179257869720459,153,0.04208207130432129,369,1.3106834888458252
10,7,9,64,1.046027421951294,277,0.09650540351867676,0,0.009259223937988281
10,8,10,75,1.0834834575653076,304,0.07811236381530762,4520,4.491456985473633
11,1,3,25,0.5436768531799316,119,0.031185150146484375,29,0.021045923233032227
11,2,4,34,0.5374679565429688,218,0.07163858413696289,24,0.05840039253234863
11,3,5,26,0.5703065395355225,88,0.03142809867858887,4,0.013581037521362305
11,4,6,57,0.7718226909637451,333,0.08116269111633301,0,0.03608512878417969
11,5,7,45,0.6732006072998047,117,0.03471040725708008,1632,0.48418617248535156
11,6,8,58,1.064035177230835,221,0.05996823310852051,228,0.9204769134521484
11,7,9,94,1.7908778190612793,977,0.22002005577087402,0,0.05280041694641113
11,8,10,71,1.3293185234069824,318,0.12578868865966797,0,0.009310007095336914
12,1,3,21,0.3550889492034912,121,0.027484893798828125,8,0.009546518325805664
12,2,4,28,0.6649632453918457,150,0.05116438865661621,6,0.01764512062072754
12,3,5,64,1.432051658630371,670,0.1526198387145996,76,3.414301633834839
12,4,6,53,1.0251781940460205,278,0.08041739463806152,348,0.48163914680480957
12,5,7,48,1.0055744647979736,226,0.09393787384033203,152,0.4862215518951416
12,6,8,54,1.0013327598571777,194,0.05899953842163086,0,0.004890918731689453
12,7,9,80,1.8068633079528809,588,0.17853093147277832,304,2.141005039215088
12,8,10,57,1.1361398696899414,190,0.05609583854675293,0,0.005152225494384766
13,1,3,12,0.2387707233428955,22,0.014758110046386719,5,0.004031658172607422
13,2,4,38,0.8077065944671631,290,0.07451820373535156,39,0.12334728240966797
13,3,5,36,0.6633634567260742,190,0.04876852035522461,66,0.0929253101348877
13,4,6,51,1.0595099925994873,244,0.06415987014770508,236,1.595764398574829
13,5,7,48,1.0707316398620605,291,0.0754249095916748,22,0.32483696937561035
13,6,8,48,1.0497798919677734,165,0.050159454345703125,0,0.0046656131744384766
13,7,9,78,1.374631643295288,366,0.09950757026672363,0,0.006746768951416016
13,8,10,79,1.675506353378296,540,0.13271164894104004,1089,7.729492664337158
14,1,3,26,0.5840082168579102,192,0.04749417304992676,5,0.018063068389892578
14,2,4,27,0.5350074768066406,157,0.04165244102478027,5,0.027240753173828125
