n_sample,n_network,n_rdds,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,3,23,1.3699021339416504,168,0.0495905876159668,7,0.02862381935119629
1,2,4,51,0.9174308776855469,580,0.14662623405456543,32,0.46797800064086914
1,3,5,43,0.852893590927124,353,0.08400511741638184,14,0.5616717338562012
1,4,6,57,1.159684658050537,566,0.1292424201965332,0,0.013551473617553711
1,5,7,69,1.287722110748291,770,0.1773543357849121,190,5.983151435852051
1,6,8,67,1.327174425125122,484,0.13792133331298828,0,0.02097606658935547
1,7,9,83,1.6937546730041504,684,0.18361616134643555,564,7.105435609817505
1,8,10,109,1.9529061317443848,865,0.24952983856201172,2100,164.73753786087036
2,1,3,20,0.5059454441070557,118,0.05413079261779785,3,0.009887933731079102
2,2,4,31,0.5997412204742432,197,0.047942161560058594,5,0.052075862884521484
2,3,5,81,1.1545472145080566,1032,0.21729183197021484,82,1.9541821479797363
2,4,6,68,1.4737331867218018,613,0.15102767944335938,30,2.0131278038024902
2,5,7,90,1.6343576908111572,818,0.21130108833312988,76,34.78311038017273
2,6,8,76,1.3940582275390625,646,0.1611948013305664,82,24.679826736450195
2,7,9,104,1.880772590637207,856,0.21984457969665527,1048,208.80170035362244
2,8,10,107,1.9295480251312256,1048,0.26913881301879883,0,0.06586122512817383
3,1,3,31,0.7107903957366943,319,0.06451797485351562,19,0.07475471496582031
3,2,4,26,0.588965654373169,161,0.04370450973510742,4,0.01965641975402832
3,3,5,47,1.0573382377624512,381,0.09302043914794922,24,0.12690973281860352
3,4,6,51,1.1395542621612549,418,0.1300983428955078,25,0.5306851863861084
3,5,7,65,1.2944529056549072,498,0.1153864860534668,69,1.8320801258087158
3,6,8,84,1.6973876953125,775,0.17700457572937012,306,18.802703619003296
3,7,9,72,1.4601099491119385,567,0.1331462860107422,0,0.007414817810058594
3,8,10,122,2.276961326599121,1304,0.36972784996032715,0,0.07599806785583496
4,1,3,30,0.5584697723388672,292,0.06253266334533691,14,0.056908369064331055
4,2,4,45,0.8309333324432373,431,0.10197567939758301,22,0.08658623695373535
4,3,5,52,0.960909366607666,440,0.1082005500793457,40,0.20850086212158203
4,4,6,41,1.0286290645599365,275,0.06841707229614258,10,0.09486746788024902
4,5,7,74,1.380246877670288,665,0.17902469635009766,78,3.1846396923065186
4,6,8,70,1.671464443206787,633,0.14819598197937012,0,0.009682655334472656
4,7,9,76,1.4544737339019775,616,0.1399703025817871,66,84.44642162322998
4,8,10,95,1.7608470916748047,974,0.22178363800048828,2756,67.02015137672424
5,1,3,32,0.6380958557128906,306,0.07452750205993652,16,0.06884622573852539
5,2,4,64,1.0670039653778076,786,0.1918647289276123,158,1.9793782234191895
5,3,5,44,1.1357612609863281,338,0.08558106422424316,8,0.33954477310180664
5,4,6,67,1.415778636932373,637,0.1598360538482666,39,1.6286706924438477
5,5,7,59,1.3831901550292969,373,0.10438656806945801,6,0.35917067527770996
5,6,8,76,1.4344756603240967,742,0.16342973709106445,138,6.349815368652344
5,7,9,109,2.2327942848205566,1126,0.25614118576049805,0,0.021084308624267578
5,8,10,100,1.9214537143707275,839,0.21258163452148438,0,0.010584592819213867
