n_sample,n_network,n_rdds,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,3,29,1.4288408756256104,242,0.07865381240844727,6,0.03736257553100586
1,2,4,27,0.5694656372070312,170,0.04291868209838867,4,0.022635698318481445
1,3,5,33,1.3120365142822266,209,0.06379055976867676,9,0.06472063064575195
1,4,6,82,1.7249226570129395,904,0.2128448486328125,438,30.575644493103027
1,5,7,68,1.6139254570007324,676,0.16540288925170898,172,3.318154811859131
1,6,8,93,1.8597843647003174,836,0.23834681510925293,172,27.215593576431274
1,7,9,81,1.8125159740447998,567,0.14704179763793945,0,0.006125450134277344
1,8,10,118,2.6510887145996094,1035,0.2695648670196533,2200,1864.57017827034
2,1,3,26,0.659893274307251,183,0.04700016975402832,3,0.018296241760253906
2,2,4,51,1.085744857788086,687,0.13525390625,77,0.5111870765686035
2,3,5,55,1.2108089923858643,557,0.12061309814453125,24,0.4981374740600586
2,4,6,68,1.4181239604949951,530,0.1286759376525879,64,13.209211826324463
2,5,7,75,1.5857875347137451,695,0.16394901275634766,56,8.091700553894043
2,6,8,92,1.9841289520263672,1049,0.2619640827178955,654,54.40171670913696
2,7,9,67,1.7767894268035889,440,0.11020040512084961,66,13.235471725463867
2,8,10,120,2.395219087600708,1243,0.30574488639831543,0,0.21560287475585938
3,1,3,27,0.637993574142456,231,0.05103158950805664,13,0.039960622787475586
3,2,4,50,1.0398311614990234,650,0.13608932495117188,62,1.1652777194976807
3,3,5,41,1.018190622329712,288,0.07470130920410156,9,0.17627382278442383
3,4,6,47,1.155959129333496,322,0.07313227653503418,98,0.4060475826263428
3,5,7,68,1.5092334747314453,576,0.14207792282104492,80,6.133768320083618
3,6,8,57,1.6306650638580322,431,0.11698126792907715,0,0.007838010787963867
3,7,9,89,2.0850400924682617,902,0.22484421730041504,36,22.824139833450317
3,8,10,109,2.211966037750244,1034,0.2512085437774658,0,0.20597481727600098
4,1,3,22,0.5408599376678467,134,0.03406214714050293,2,0.011250495910644531
4,2,4,43,0.8793370723724365,412,0.10861611366271973,14,0.10343122482299805
4,3,5,48,1.1833219528198242,345,0.09016752243041992,18,0.6839566230773926
4,4,6,39,1.328996181488037,222,0.06034040451049805,12,0.29836153984069824
4,5,7,62,1.4520337581634521,394,0.11523890495300293,0,0.08100605010986328
4,6,8,94,1.9675118923187256,1063,0.24519944190979004,0,0.19163966178894043
4,7,9,123,2.325739860534668,1214,0.32564353942871094,0,0.13535475730895996
4,8,10,95,2.1203763484954834,817,0.1837751865386963,2100,296.39581537246704
5,1,3,23,0.5284032821655273,174,0.04428744316101074,10,0.020692110061645508
5,2,4,45,1.1573972702026367,394,0.08900308609008789,28,0.3270540237426758
5,3,5,50,1.0525257587432861,394,0.09456062316894531,13,0.1874244213104248
5,4,6,49,1.1502971649169922,343,0.08719778060913086,36,0.726935863494873
5,5,7,85,1.6452796459197998,813,0.20401811599731445,68,3.2545220851898193
5,6,8,101,2.0841803550720215,1623,0.36702489852905273,678,13.784605264663696
5,7,9,89,1.9951107501983643,847,0.20172643661499023,0,0.016876697540283203
5,8,10,106,2.266751766204834,883,0.2037796974182129,0,0.08608174324035645
6,1,3,23,0.6914393901824951,164,0.03965330123901367,7,0.016444921493530273
6,2,4,33,0.8140053749084473,212,0.06516790390014648,10,0.08496594429016113
6,3,5,81,1.5260405540466309,1348,0.2992434501647949,560,6.981346845626831
6,4,6,90,1.6286425590515137,974,0.286221981048584,553,8.341107845306396
6,5,7,57,1.6840693950653076,458,0.1022648811340332,80,1.6531946659088135
6,6,8,94,2.377906084060669,1084,0.22982001304626465,480,914.201637506485
6,7,9,65,1.785201072692871,485,0.112091064453125,84,10.727006196975708
6,8,10,105,2.2765936851501465,904,0.2257542610168457,600,98.99174904823303
7,1,3,41,0.8032839298248291,500,0.09403753280639648,26,0.15864276885986328
7,2,4,70,1.2905559539794922,1016,0.20621180534362793,272,4.191996335983276
7,3,5,68,1.4308648109436035,817,0.19345784187316895,26,0.9175264835357666
7,4,6,59,1.386671543121338,546,0.132307767868042,130,2.0158214569091797
7,5,7,44,1.2951793670654297,238,0.06597423553466797,0,0.004681110382080078
7,6,8,89,1.940643310546875,884,0.20783185958862305,0,0.02548980712890625
7,7,9,118,2.4644813537597656,1463,0.3484370708465576,0,0.030117511749267578
7,8,10,88,2.070401191711426,745,0.1756885051727295,128,86.82699751853943
8,1,3,32,0.6847014427185059,320,0.08025455474853516,9,0.04706907272338867
8,2,4,33,0.8517711162567139,249,0.05793571472167969,7,0.0959937572479248
8,3,5,51,1.1215720176696777,480,0.10261416435241699,32,0.38167905807495117
8,4,6,65,1.2981441020965576,661,0.13969874382019043,133,0.927262544631958
8,5,7,66,1.5552644729614258,576,0.14583778381347656,18,0.9778084754943848
8,6,8,91,1.9662082195281982,938,0.21532869338989258,0,0.017444133758544922
8,7,9,93,2.1363635063171387,903,0.20033955574035645,1359,277.7991449832916
8,8,10,95,2.1176061630249023,894,0.25002479553222656,758,43.75809073448181
9,1,3,23,0.5351784229278564,151,0.04057955741882324,3,0.01174616813659668
