n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
17,5,5,9,2,78,1.7020184993743896,1005,0.23497295379638672,90,3.504570722579956
17,6,5,10,2,54,1.5601365566253662,548,0.11529183387756348,116,1.4727935791015625
18,1,5,5,2,42,0.8381798267364502,302,0.06885051727294922,12,0.3883819580078125
18,2,5,6,2,43,0.9581365585327148,345,0.08379673957824707,16,0.5800213813781738
18,3,5,7,2,58,1.1247661113739014,562,0.11877584457397461,50,2.0347251892089844
18,4,5,8,2,57,1.3915166854858398,637,0.1478123664855957,41,0.6282987594604492
18,5,5,9,2,53,1.5058846473693848,423,0.1002206802368164,20,0.5700109004974365
18,6,5,10,2,58,1.817641258239746,577,0.1714463233947754,40,2.2241451740264893
19,1,5,5,2,60,0.9996166229248047,544,0.13216042518615723,56,2.049243927001953
19,2,5,6,2,36,0.9665935039520264,242,0.05846357345581055,8,0.10545587539672852
19,3,5,7,2,46,1.095428705215454,402,0.09654426574707031,13,0.12159037590026855
19,4,5,8,2,66,1.5678598880767822,658,0.16364359855651855,44,2.2786529064178467
19,5,5,9,2,50,1.382802963256836,406,0.12944698333740234,18,0.8848440647125244
19,6,5,10,2,67,1.6903581619262695,753,0.20877599716186523,86,2.5646774768829346
20,1,5,5,2,38,0.7833282947540283,244,0.06223249435424805,13,0.18085360527038574
20,2,5,6,2,72,1.2235214710235596,882,0.18044686317443848,119,5.293147087097168
20,3,5,7,2,40,1.0239686965942383,345,0.07546710968017578,30,0.595416784286499
20,4,5,8,2,75,1.7434027194976807,975,0.3103618621826172,52,9.965364933013916
20,5,5,9,2,41,1.1589558124542236,251,0.06096601486206055,22,0.07508969306945801
20,6,5,10,2,42,1.158038854598999,302,0.0792839527130127,6,0.14405131340026855
21,1,5,5,2,83,1.4690101146697998,1134,0.2651021480560303,188,18.73608899116516
21,2,5,6,2,39,0.8879497051239014,306,0.07211065292358398,12,0.17451095581054688
21,3,5,7,2,59,1.1856706142425537,632,0.14308953285217285,54,2.038680076599121
21,4,5,8,2,82,1.544719934463501,1104,0.25164341926574707,208,3.5791258811950684
21,5,5,9,2,64,1.6355688571929932,640,0.18509173393249512,16,0.3970520496368408
21,6,5,10,2,90,2.3779845237731934,1386,0.34479284286499023,111,2.6979637145996094
22,1,5,5,2,43,0.7490670680999756,274,0.06808280944824219,42,0.3229091167449951
22,2,5,6,2,54,1.0349557399749756,467,0.09833645820617676,91,1.2316923141479492
22,3,5,7,2,80,1.4306573867797852,1104,0.27562880516052246,74,6.934686660766602
22,4,5,8,2,43,1.1154518127441406,301,0.127363920211792,5,0.08938217163085938
22,5,5,9,2,91,1.9518868923187256,1760,0.36080169677734375,760,109.80696129798889
22,6,5,10,2,45,1.4301388263702393,306,0.10323858261108398,8,0.11432933807373047
23,1,5,5,2,44,0.9441981315612793,332,0.08281135559082031,10,0.2203230857849121
23,2,5,6,2,48,0.9611036777496338,380,0.08418393135070801,24,0.25879788398742676
23,3,5,7,2,51,1.1723625659942627,486,0.10757136344909668,48,0.6059877872467041
23,4,5,8,2,69,1.5213403701782227,819,0.1881721019744873,54,2.6089425086975098
23,5,5,9,2,52,1.3988447189331055,469,0.11160707473754883,16,0.7826442718505859
23,6,5,10,2,63,1.7163221836090088,597,0.16201210021972656,44,2.1152968406677246
24,1,5,5,2,51,0.95304274559021,523,0.12179040908813477,34,0.3606534004211426
24,2,5,6,2,53,1.0513088703155518,460,0.09710693359375,30,0.13375234603881836
24,3,5,7,2,68,1.4804823398590088,877,0.20650172233581543,168,1.876729965209961
24,4,5,8,2,58,1.304616928100586,589,0.13644742965698242,39,1.5576300621032715
24,5,5,9,2,48,1.5660638809204102,346,0.07857012748718262,31,0.38623714447021484
24,6,5,10,2,46,1.3732197284698486,364,0.09354448318481445,12,0.42841577529907227
25,1,5,5,2,46,0.9459850788116455,382,0.08847475051879883,36,0.9662582874298096
25,2,5,6,2,52,1.117936134338379,584,0.11981058120727539,182,1.7053050994873047
25,3,5,7,2,64,1.3258416652679443,702,0.17556071281433105,18,1.171889305114746
25,4,5,8,2,58,1.2505824565887451,724,0.15924620628356934,106,1.4319884777069092
25,5,5,9,2,65,1.8173742294311523,617,0.16279911994934082,70,1.3880114555358887
25,6,5,10,2,65,1.8040602207183838,639,0.19910526275634766,20,0.3947913646697998
26,1,5,5,2,39,0.9172790050506592,277,0.07236647605895996,5,0.10717296600341797
26,2,5,6,2,49,0.9729955196380615,395,0.09095168113708496,15,0.40925121307373047
26,3,5,7,2,59,1.217052698135376,694,0.15081071853637695,57,3.5202016830444336
26,4,5,8,2,37,0.9620308876037598,217,0.060869693756103516,18,0.05516982078552246
26,5,5,9,2,83,1.8635811805725098,1085,0.2744424343109131,52,2.761472463607788
26,6,5,10,2,55,1.5469069480895996,590,0.13530588150024414,33,0.4654257297515869
27,1,5,5,2,66,1.0720117092132568,716,0.15906190872192383,42,1.1844744682312012
27,2,5,6,2,53,1.0033698081970215,555,0.12412166595458984,20,0.7363035678863525
27,3,5,7,2,47,1.1022920608520508,319,0.09610724449157715,6,0.2820577621459961
27,4,5,8,2,87,1.634019136428833,1264,0.36931514739990234,304,27.640918731689453
27,5,5,9,2,98,2.380114793777466,1245,0.2830846309661865,284,3.118152379989624
27,6,5,10,2,71,1.8607738018035889,606,0.22466444969177246,18,0.7199172973632812
28,1,5,5,2,46,0.9704852104187012,394,0.08968806266784668,34,0.3473546504974365
28,2,5,6,2,59,1.1984868049621582,603,0.1649456024169922,48,3.073326587677002
28,3,5,7,2,70,1.3920729160308838,696,0.20146918296813965,22,1.1534361839294434
28,4,5,8,2,95,2.014021158218384,1720,0.37332820892333984,321,20.770138263702393
28,5,5,9,2,103,2.361999273300171,2308,0.5163466930389404,400,28.981624364852905
28,6,5,10,2,44,1.3973627090454102,235,0.06212663650512695,9,0.1018216609954834
29,1,5,5,2,69,1.160388469696045,959,0.20750761032104492,90,5.121448278427124
29,2,5,6,2,55,1.0184097290039062,497,0.11595916748046875,64,0.6813182830810547
29,3,5,7,2,49,1.2826972007751465,428,0.10680770874023438,37,1.275608777999878
29,4,5,8,2,89,1.952479600906372,1102,0.32573771476745605,54,3.381916046142578
29,5,5,9,2,64,1.5598773956298828,605,0.1297013759613037,72,2.6093411445617676
29,6,5,10,2,98,2.127401828765869,1200,0.25795412063598633,512,1.3249597549438477
30,1,5,5,2,42,0.8750813007354736,274,0.06950044631958008,10,0.16386842727661133
30,2,5,6,2,50,1.042943000793457,532,0.1323094367980957,62,1.1973989009857178
30,3,5,7,2,49,1.170943260192871,328,0.08221745491027832,7,0.27605557441711426
30,4,5,8,2,61,1.3657479286193848,641,0.1696929931640625,36,1.127077579498291
30,5,5,9,2,46,1.164240837097168,344,0.09257793426513672,32,0.19875335693359375
