n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
4,5,5,7,2,67,1.586810827255249,835,0.2055187225341797,84,1.275480031967163
4,6,5,8,2,62,1.74045991897583,592,0.15055131912231445,84,2.7004055976867676
4,7,5,9,2,55,1.8143093585968018,459,0.15295863151550293,62,1.5702540874481201
4,8,5,10,2,73,2.121781587600708,858,0.2618739604949951,34,1.188312292098999
5,1,5,3,2,35,0.9534928798675537,194,0.06833648681640625,2,0.03472709655761719
5,2,5,4,2,36,1.0840208530426025,215,0.06470942497253418,6,0.13672447204589844
5,3,5,5,2,48,1.197463035583496,443,0.1185905933380127,22,0.47030210494995117
5,4,5,6,2,46,1.2869398593902588,338,0.11311483383178711,10,0.42067551612854004
5,5,5,7,2,50,1.3860962390899658,444,0.11765694618225098,32,0.49605393409729004
5,6,5,8,2,82,2.2250523567199707,948,0.24651551246643066,80,2.2510807514190674
5,7,5,9,2,84,2.3948938846588135,1065,0.2880420684814453,136,3.9018616676330566
5,8,5,10,2,69,2.1034908294677734,962,0.24609994888305664,97,2.6192545890808105
6,1,5,3,2,38,1.003814697265625,240,0.08072137832641602,15,0.16480565071105957
6,2,5,4,2,40,1.0788931846618652,276,0.08535575866699219,23,0.3086280822753906
6,3,5,5,2,50,1.2312932014465332,529,0.1320042610168457,18,0.32789063453674316
6,4,5,6,2,64,1.674623727798462,734,0.2078075408935547,132,3.2140555381774902
6,5,5,7,2,69,1.6781156063079834,855,0.25504612922668457,103,1.580672264099121
6,6,5,8,2,49,1.5545239448547363,365,0.10478878021240234,18,0.34462571144104004
6,7,5,9,2,58,1.5464961528778076,463,0.1261463165283203,28,1.703101634979248
6,8,5,10,2,34,1.399702787399292,230,0.06869173049926758,22,0.09435558319091797
7,1,5,3,2,39,0.9150309562683105,292,0.08359146118164062,12,0.30800294876098633
7,2,5,4,2,60,1.2947187423706055,614,0.15981435775756836,10,0.8930459022521973
7,3,5,5,2,62,1.475344181060791,595,0.17037391662597656,130,1.6581752300262451
7,4,5,6,2,53,1.40498685836792,498,0.13574981689453125,20,0.9178483486175537
7,5,5,7,2,67,1.651085615158081,725,0.1856527328491211,94,4.812048673629761
7,6,5,8,2,92,2.218080997467041,988,0.2594461441040039,105,8.814286470413208
7,7,5,9,2,105,2.684065103530884,2108,0.5345311164855957,928,82.2831621170044
7,8,5,10,2,71,2.51250958442688,893,0.24899983406066895,143,1.2540898323059082
8,1,5,3,2,40,0.9277205467224121,280,0.07859921455383301,17,0.11300921440124512
8,2,5,4,2,35,0.9401974678039551,207,0.07044219970703125,2,0.04560089111328125
8,3,5,5,2,43,1.176948070526123,275,0.08399772644042969,13,0.13559508323669434
8,4,5,6,2,52,1.3363230228424072,474,0.13536739349365234,30,0.9193692207336426
8,5,5,7,2,46,1.2480273246765137,389,0.10009288787841797,31,0.34393858909606934
8,6,5,8,2,71,1.8464553356170654,998,0.27196383476257324,116,1.7034428119659424
8,7,5,9,2,114,3.225377321243286,1968,0.6467742919921875,84,18.69774317741394
8,8,5,10,2,77,2.4743924140930176,869,0.23653197288513184,198,3.2674524784088135
9,1,5,3,2,43,0.9665496349334717,316,0.08890032768249512,42,0.14925742149353027
9,2,5,4,2,37,0.9828746318817139,227,0.07484579086303711,6,0.1378340721130371
9,3,5,5,2,52,1.149259090423584,412,0.13150858879089355,32,0.19617891311645508
9,4,5,6,2,40,1.2300398349761963,297,0.09401631355285645,19,0.17754268646240234
9,5,5,7,2,66,1.6237397193908691,544,0.15330815315246582,60,3.23897385597229
9,6,5,8,2,63,1.618725061416626,652,0.15866303443908691,24,0.4079413414001465
9,7,5,9,2,53,1.61818265914917,534,0.14362454414367676,14,1.0128295421600342
9,8,5,10,2,75,2.075793743133545,944,0.24418997764587402,221,7.154436111450195
10,1,5,3,2,34,0.8801159858703613,199,0.06364226341247559,6,0.05590677261352539
10,2,5,4,2,43,1.1382107734680176,357,0.09675955772399902,16,0.46126770973205566
10,3,5,5,2,43,1.2448370456695557,323,0.10371160507202148,10,0.40600061416625977
10,4,5,6,2,75,2.0007781982421875,755,0.2589707374572754,100,2.0060529708862305
10,5,5,7,2,54,1.5092735290527344,493,0.1377701759338379,52,0.3019099235534668
10,6,5,8,2,85,2.213846445083618,995,0.3207554817199707,46,1.3115274906158447
10,7,5,9,2,71,1.977555751800537,962,0.255232572555542,118,2.7394723892211914
10,8,5,10,2,52,1.976189374923706,518,0.14792680740356445,62,1.0754964351654053
11,1,5,3,2,46,0.9978382587432861,346,0.09151768684387207,8,0.24916577339172363
11,2,5,4,2,33,0.9509010314941406,225,0.06557583808898926,8,0.07385873794555664
11,3,5,5,2,59,1.457789659500122,586,0.17791295051574707,46,1.3375232219696045
11,4,5,6,2,48,1.2575175762176514,446,0.11363482475280762,24,0.314929723739624
11,5,5,7,2,78,2.052579641342163,726,0.22675085067749023,142,9.270211935043335
11,6,5,8,2,58,1.605736255645752,494,0.13445782661437988,94,1.3706541061401367
11,7,5,9,2,71,1.8822755813598633,879,0.23389673233032227,280,9.39043927192688
11,8,5,10,2,48,1.6379971504211426,369,0.10731697082519531,31,0.2052934169769287
12,1,5,3,2,35,0.9772400856018066,234,0.06943416595458984,11,0.1634807586669922
12,2,5,4,2,31,1.00136137008667,176,0.05721545219421387,3,0.0414280891418457
12,3,5,5,2,44,1.1483173370361328,404,0.09953856468200684,22,0.966315507888794
12,4,5,6,2,47,1.3424606323242188,397,0.1130990982055664,10,0.6554200649261475
12,5,5,7,2,53,1.4179964065551758,505,0.15821337699890137,23,0.4862494468688965
12,6,5,8,2,73,1.9172632694244385,805,0.2796659469604492,10,8.819194555282593
12,7,5,9,2,67,2.0315351486206055,687,0.22424626350402832,37,0.45797109603881836
12,8,5,10,2,73,2.1696877479553223,768,0.24025273323059082,80,1.387437105178833
13,1,5,3,2,33,0.8203599452972412,203,0.06532406806945801,18,0.1008138656616211
13,2,5,4,2,44,1.1412410736083984,383,0.1082456111907959,64,0.30481958389282227
